/bailing_gongzuo_jiaotan-001	load:0.021	watermark:0.025	recognition:1.828	encrypt:2.096	compress:2.119	writeFileSync:2.12	end:2.12	2.123
/bailing_gongzuo_jiaotan-002	load:0.008	watermark:0.01	recognition:1.133	encrypt:1.502	compress:1.535	writeFileSync:1.535	end:1.535	1.537
/bailing_gongzuo_jiaotan-003	load:0.01	watermark:0.011	recognition:1.147	encrypt:1.417	compress:1.443	writeFileSync:1.444	end:1.444	1.445
/bailing_gongzuo_jiaotan-004	load:0.008	watermark:0.01	recognition:1.168	encrypt:1.544	compress:1.574	writeFileSync:1.575	end:1.575	1.575
/bailing_gongzuo_jiaotan-005	load:0.008	watermark:0.01	recognition:1.106	encrypt:1.488	compress:1.519	writeFileSync:1.52	end:1.52	1.521
/bailing_gongzuo_jiaotan-006	load:0.009	watermark:0.011	recognition:1.215	encrypt:1.709	compress:1.733	writeFileSync:1.734	end:1.734	1.735
/bailing_gongzuo_jiaotan-007	load:0.009	watermark:0.011	recognition:1.363	encrypt:1.657	compress:1.685	writeFileSync:1.686	end:1.686	1.686
/bailing_gongzuo_jiaotan-008	load:0.01	watermark:0.012	recognition:1.271	encrypt:1.631	compress:1.668	writeFileSync:1.668	end:1.668	1.671
/bailing_gongzuo_jiaotan-009	load:0.009	watermark:0.01	recognition:1.08	encrypt:1.37	compress:1.398	writeFileSync:1.399	end:1.399	1.400
/bailing_gongzuo_jiaotan-010	load:0.009	watermark:0.011	recognition:1.147	encrypt:1.422	compress:1.445	writeFileSync:1.446	end:1.446	1.446
/bailing_gongzuo_jiaotan-011	load:0.008	watermark:0.01	recognition:1.061	encrypt:1.303	compress:1.326	writeFileSync:1.327	end:1.327	1.328
/bailing_gongzuo_jiaotan-012	load:0.008	watermark:0.01	recognition:0.981	encrypt:1.197	compress:1.216	writeFileSync:1.217	end:1.217	1.218
