/bailing_gongzuo_jiaotan-001	load:0.15	watermark:0.254	recognition:5.488	encrypt:9.583	compress:9.672	writeFileSync:9.673	end:9.674	9.678
/xiaoyuan_shenghuo-004	load:0.008	watermark:0.01	recognition:6.25	encrypt:8.45	compress:8.492	writeFileSync:8.493	end:8.494	9.462
/shangwu_gongzuo_chuchai-013	load:0.005	watermark:0.008	recognition:4.885	encrypt:9.155	compress:9.265	writeFileSync:9.266	end:9.267	9.700
/shangwu_gongzuo_chuchai-003	load:0.009	watermark:0.01	recognition:6.083	encrypt:9.127	compress:9.16	writeFileSync:9.16	end:9.161	9.768
/cannes_international_film_festival-006	load:0.008	watermark:0.01	recognition:7.036	encrypt:10.035	compress:10.101	writeFileSync:10.102	end:10.102	10.214
/xiaoyuan_shenghuo-013	load:0.007	watermark:0.009	recognition:6.713	encrypt:8.897	compress:8.954	writeFileSync:8.973	end:8.974	10.098
/xiaoyuan_shenghuo-016	load:0.008	watermark:0.009	recognition:6.91	encrypt:9.306	compress:9.382	writeFileSync:9.383	end:9.384	10.364
/xiaoyuan_shenghuo-018	load:0.007	watermark:0.009	recognition:6.944	encrypt:8.931	compress:8.989	writeFileSync:8.99	end:8.99	10.363
/bailing_gongzuo_jiaotan-012	load:0.009	watermark:0.028	recognition:7.094	encrypt:10.23	compress:10.28	writeFileSync:10.281	end:10.281	10.604
/xiaoyuan_shenghuo-006	load:0.008	watermark:0.009	recognition:7.101	encrypt:9.946	compress:10.021	writeFileSync:10.021	end:10.022	10.821
/cannes_international_film_festival-011	load:0.007	watermark:0.009	recognition:7.409	encrypt:10.742	compress:10.833	writeFileSync:10.834	end:10.834	11.070
/xiaoyuan_shenghuo-001	load:0.007	watermark:0.009	recognition:7.496	encrypt:10.159	compress:10.252	writeFileSync:10.252	end:10.253	11.004
/shangwu_gongzuo_chuchai-028	load:0.006	watermark:0.009	recognition:4.784	encrypt:10.155	compress:10.274	writeFileSync:10.279	end:10.28	11.020
/xiaoyuan_shenghuo-003	load:0.008	watermark:0.01	recognition:5.824	encrypt:9.621	compress:9.676	writeFileSync:9.683	end:9.683	10.976
/shangwu_gongzuo_chuchai-005	load:0.008	watermark:0.011	recognition:7.595	encrypt:10.913	compress:10.964	writeFileSync:10.965	end:10.965	11.213
/xiaoyuan_shenghuo-011	load:0.008	watermark:0.01	recognition:7.237	encrypt:10.604	compress:10.673	writeFileSync:10.674	end:10.674	11.283
/bailing_gongzuo_jiaotan	load:0.107	watermark:0.109	recognition:7.814	encrypt:11.491	compress:11.579	writeFileSync:11.58	end:11.58	11.585
/shangwu_gongzuo_chuchai-033	load:0.005	watermark:0.008	recognition:6.089	encrypt:10.596	compress:10.686	writeFileSync:10.687	end:10.687	11.472
/shangwu_gongzuo_chuchai-006	load:0.01	watermark:0.023	recognition:7.717	encrypt:11.313	compress:11.385	writeFileSync:11.386	end:11.386	11.599
/bailing_gongzuo_jiaotan-011	load:0.008	watermark:0.01	recognition:7.784	encrypt:11.405	compress:11.496	writeFileSync:11.497	end:11.497	11.747
/bailing_gongzuo_jiaotan-006	load:0.234	watermark:0.236	recognition:8.315	encrypt:12.028	compress:12.08	writeFileSync:12.08	end:12.08	12.103
/bailing_gongzuo_jiaotan-003	load:0.214	watermark:0.215	recognition:8.183	encrypt:12.014	compress:12.103	writeFileSync:12.104	end:12.104	12.122
