Percentage served,Time in ms
0,262.919
1,2304.317
2,2457.600
3,2633.086
4,2832.882
5,2890.570
6,2955.724
7,2974.591
8,3004.071
9,3058.540
10,3092.894
11,3109.282
12,3117.908
13,3130.792
14,3145.580
15,3160.273
16,3170.944
17,3175.215
18,3181.584
19,3188.613
20,3191.318
21,3195.061
22,3198.068
23,3203.700
24,3212.794
25,3219.074
26,3223.420
27,3229.146
28,3234.108
29,3242.853
30,3247.265
31,3254.699
32,3259.090
33,3269.635
34,3293.228
35,3309.250
36,3332.239
37,3356.102
38,3369.237
39,3377.171
40,3386.403
41,3397.180
42,3405.452
43,3420.918
44,3430.149
45,3435.343
46,3443.352
47,3446.635
48,3453.827
49,3460.746
50,3478.227
51,3510.809
52,3574.770
53,3747.575
54,4062.639
55,4562.620
56,5048.793
57,5306.510
58,5568.778
59,5716.198
60,5972.397
61,6103.843
62,6317.865
63,6362.847
64,6386.263
65,6405.417
66,6429.148
67,6443.516
68,6465.812
69,6502.261
70,6563.784
71,6635.334
72,6760.902
73,6797.388
74,6823.040
75,6851.217
76,6884.271
77,6962.094
78,7118.256
79,8146.125
80,8611.937
81,9125.554
82,9507.555
83,9627.331
84,9691.056
85,9748.381
86,10017.870
87,10205.596
88,10292.082
89,11343.452
90,12413.193
91,12875.907
92,13318.106
93,13694.125
94,15158.635
95,15953.979
96,16695.602
97,19267.727
98,22711.995
99,28734.376
