Percentage served,Time in ms
0,15.994
1,21.319
2,26.696
3,31.192
4,31.230
5,31.260
6,31.315
7,31.339
8,31.359
9,31.454
10,31.519
11,31.657
12,31.753
13,31.830
14,32.624
15,32.679
16,33.816
17,36.667
18,39.602
19,42.256
20,45.442
21,48.266
22,50.930
23,53.759
24,56.388
25,59.125
26,61.750
27,64.475
28,67.661
29,73.822
30,76.002
31,78.681
32,82.239
33,83.552
34,83.633
35,83.659
36,83.664
37,83.673
38,83.693
39,83.721
40,83.766
41,83.803
42,83.847
43,83.864
44,83.896
45,83.932
46,83.971
47,83.984
48,84.016
49,84.042
50,84.061
51,84.084
52,84.201
53,84.552
54,84.612
55,84.671
56,85.398
57,85.473
58,85.533
59,85.585
60,85.634
61,85.660
62,85.706
63,85.740
64,85.804
65,85.866
66,85.928
67,85.960
68,86.042
69,86.102
70,86.159
71,86.337
72,90.137
73,91.338
74,92.662
75,93.743
76,95.084
77,95.433
78,96.185
79,97.257
80,100.166
81,100.943
82,101.795
83,101.996
84,102.206
85,102.381
86,102.494
87,102.606
88,102.695
89,102.796
90,102.914
91,102.948
92,103.027
93,103.290
94,103.496
95,104.585
96,105.160
97,105.909
98,107.104
99,109.002
