Percentage served,Time in ms
0,32.141
1,49.580
2,64.817
3,78.232
4,94.806
5,108.282
6,123.401
7,126.474
8,127.061
9,127.972
10,128.657
11,129.146
12,129.429
13,129.776
14,130.118
15,130.559
16,131.000
17,131.522
18,131.973
19,132.302
20,132.576
21,132.682
22,132.901
23,133.177
24,133.533
25,133.887
26,134.293
27,134.567
28,134.765
29,134.908
30,135.063
31,135.312
32,135.416
33,135.706
34,135.854
35,136.049
36,136.335
37,136.631
38,136.801
39,137.121
40,137.566
41,137.769
42,137.917
43,138.085
44,138.559
45,138.896
46,139.098
47,139.228
48,139.573
49,139.882
50,140.052
51,140.607
52,141.220
53,141.896
54,142.190
55,142.602
56,142.914
57,143.546
58,143.948
59,144.272
60,144.672
61,145.098
62,145.315
63,145.643
64,145.700
65,146.178
66,146.668
67,147.051
68,147.226
69,147.680
70,148.170
71,149.365
72,151.962
73,155.911
74,157.804
75,160.473
76,161.111
77,162.723
78,163.907
79,164.275
80,165.050
81,165.512
82,166.073
83,166.897
84,167.148
85,168.068
86,168.358
87,168.697
88,169.087
89,169.394
90,169.898
91,170.367
92,170.979
93,171.212
94,172.802
95,173.763
96,175.034
97,176.546
98,178.768
99,180.924
