Percentage served,Time in ms
0,2370.830
1,3008.081
2,3009.732
3,3139.668
4,3212.656
5,3335.425
6,4564.116
7,5232.902
8,5441.012
9,5511.875
10,5552.844
11,5632.878
12,5678.240
13,5800.684
14,5913.006
15,6006.340
16,6061.228
17,6094.402
18,6126.289
19,6170.361
20,6225.194
21,6247.779
22,6261.071
23,6283.609
24,6308.136
25,6337.844
26,6356.121
27,6382.353
28,6399.913
29,6437.168
30,6449.660
31,6474.998
32,6487.813
33,6510.016
34,6525.059
35,6536.790
36,6548.600
37,6565.164
38,6583.640
39,6591.737
40,6603.681
41,6613.255
42,6628.095
43,6650.037
44,6663.849
45,6670.032
46,6678.872
47,6687.849
48,6695.570
49,6707.580
50,6716.927
51,6726.368
52,6738.070
53,6748.888
54,6762.964
55,6772.427
56,6789.532
57,6804.536
58,6818.441
59,6827.231
60,6847.492
61,6871.149
62,6898.579
63,6920.675
64,6944.794
65,6974.642
66,7006.153
67,7035.983
68,7077.420
69,7108.803
70,7124.581
71,7144.563
72,7168.624
73,7182.611
74,7205.648
75,7217.522
76,7227.699
77,7238.065
78,7252.355
79,7264.834
80,7277.493
81,7293.237
82,7298.668
83,7307.562
84,7317.462
85,7329.160
86,7339.585
87,7360.149
88,7383.200
89,7420.491
90,7447.904
91,7489.052
92,7541.638
93,7607.023
94,7758.050
95,7910.397
96,8208.075
97,8634.500
98,9202.617
99,10235.012
