Percentage served,Time in ms
0,1290.467
1,2451.199
2,2934.841
3,3426.903
4,3708.588
5,4442.328
6,4913.244
7,5152.313
8,5390.289
9,5587.298
10,5710.577
11,5920.268
12,6019.565
13,6131.574
14,6234.474
15,6310.027
16,6408.329
17,6502.932
18,6558.543
19,6570.744
20,6592.588
21,6600.025
22,6611.653
23,6624.797
24,6635.091
25,6642.142
26,6645.944
27,6652.025
28,6660.162
29,6664.099
30,6669.212
31,6677.366
32,6685.076
33,6688.978
34,6693.348
35,6698.919
36,6703.066
37,6706.197
38,6712.154
39,6718.894
40,6724.998
41,6731.478
42,6733.618
43,6737.700
44,6742.328
45,6746.232
46,6749.370
47,6756.027
48,6758.440
49,6761.618
50,6766.908
51,6771.859
52,6775.286
53,6780.305
54,6785.078
55,6788.913
56,6791.912
57,6795.971
58,6800.186
59,6806.034
60,6810.033
61,6812.233
62,6817.793
63,6822.092
64,6827.553
65,6831.414
66,6835.363
67,6840.132
68,6846.906
69,6853.201
70,6856.114
71,6860.018
72,6865.692
73,6872.163
74,6884.367
75,6890.082
76,6900.502
77,6905.175
78,6913.193
79,6920.596
80,6931.540
81,6942.615
82,6951.061
83,6972.020
84,7025.374
85,7091.036
86,7247.386
87,7398.644
88,7511.177
89,7597.294
90,7737.190
91,7854.827
92,7992.367
93,8098.121
94,8457.397
95,8682.249
96,8857.736
97,9134.787
98,9417.503
99,9744.101
