Percentage served,Time in ms
0,2272.760
1,3092.062
2,3161.959
3,3347.764
4,3426.960
5,3560.725
6,3790.382
7,4514.476
8,4917.880
9,5278.708
10,5627.812
11,5807.866
12,5877.198
13,5925.427
14,5961.365
15,5986.198
16,6002.314
17,6019.490
18,6036.989
19,6057.092
20,6084.595
21,6109.086
22,6123.633
23,6133.138
24,6150.976
25,6174.273
26,6191.244
27,6202.693
28,6215.613
29,6245.500
30,6264.336
31,6292.786
32,6313.499
33,6349.013
34,6394.988
35,6415.291
36,6442.961
37,6470.119
38,6486.918
39,6513.029
40,6550.134
41,6612.574
42,6663.347
43,6680.617
44,6699.502
45,6723.363
46,6742.030
47,6763.796
48,6776.866
49,6804.038
50,6828.056
51,6855.588
52,6878.199
53,6908.606
54,6926.665
55,6945.535
56,6963.121
57,6989.235
58,7019.594
59,7069.010
60,7124.704
61,7165.203
62,7190.259
63,7206.535
64,7233.753
65,7256.494
66,7293.727
67,7327.722
68,7347.713
69,7363.335
70,7383.692
71,7400.730
72,7415.398
73,7435.823
74,7446.704
75,7465.175
76,7477.968
77,7492.152
78,7506.990
79,7514.771
80,7527.961
81,7547.318
82,7557.643
83,7573.074
84,7590.761
85,7615.346
86,7637.410
87,7681.970
88,7793.645
89,7907.892
90,7953.563
91,8003.871
92,8051.631
93,8118.635
94,8198.572
95,8605.478
96,9132.652
97,9742.896
98,9968.084
99,10358.950
