Percentage served,Time in ms
0,69.017
1,173.491
2,245.817
3,266.289
4,285.241
5,324.306
6,349.350
7,363.773
8,378.620
9,390.552
10,408.119
11,414.548
12,418.219
13,429.543
14,435.576
15,443.880
16,459.988
17,468.433
18,477.711
19,487.007
20,495.140
21,499.440
22,502.568
23,508.702
24,513.338
25,516.337
26,520.800
27,526.100
28,534.467
29,539.805
30,542.805
31,546.511
32,549.964
33,554.683
34,561.886
35,566.617
36,568.536
37,572.033
38,576.116
39,580.621
40,584.069
41,588.348
42,594.600
43,597.972
44,601.417
45,606.930
46,612.242
47,619.816
48,624.009
49,627.296
50,631.081
51,635.128
52,643.357
53,648.221
54,652.724
55,656.257
56,659.014
57,663.216
58,665.914
59,670.133
60,675.789
61,678.875
62,685.621
63,691.282
64,698.446
65,703.610
66,711.157
67,720.034
68,727.817
69,733.402
70,737.852
71,743.409
72,747.119
73,761.757
74,771.291
75,786.489
76,799.155
77,805.588
78,816.621
79,825.046
80,840.909
81,857.732
82,873.382
83,896.143
84,915.108
85,937.672
86,961.130
87,992.146
88,1017.049
89,1044.483
90,1074.590
91,1160.248
92,1188.997
93,1262.645
94,1307.634
95,1338.929
96,1434.519
97,1478.633
98,1746.833
99,1999.516
